TRAFFIC_VOL_COLLECTION_POINT;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053
116BSP2470_3;44531;44899;45853;47729;50588;53758;56162;57650;59079;60581;62149;63750;65346;66926;68498;70074;71663;73272;74901;76552;78226;79922;81639;83377;85136;86914;88710;90524;92353;94197;96055;97925;99805;101695;103592;105496
116BSP2470_2;29967;30214;30858;32967;36336;39884;41960;42783;43851;44974;46149;47349;48544;49726;50900;52076;53263;54463;55679;56911;58161;59427;60709;62006;63319;64647;65988;67342;68709;70086;71474;72871;74275;75687;77105;78527
116BSP2470_2;29967;30214;30858;32967;36336;39884;41960;42783;43851;44974;46149;47349;48544;49726;50900;52076;53263;54463;55679;56911;58161;59427;60709;62006;63319;64647;65988;67342;68709;70086;71474;72871;74275;75687;77105;78527
116BSP2470_2;29967;30214;30858;32967;36336;39884;41960;42783;43851;44974;46149;47349;48544;49726;50900;52076;53263;54463;55679;56911;58161;59427;60709;62006;63319;64647;65988;67342;68709;70086;71474;72871;74275;75687;77105;78527
116BSP2470_2;29967;30214;30858;32967;36336;39884;41960;42783;43851;44974;46149;47349;48544;49726;50900;52076;53263;54463;55679;56911;58161;59427;60709;62006;63319;64647;65988;67342;68709;70086;71474;72871;74275;75687;77105;78527
116BSP2470_2;29967;30214;30858;32967;36336;39884;41960;42783;43851;44974;46149;47349;48544;49726;50900;52076;53263;54463;55679;56911;58161;59427;60709;62006;63319;64647;65988;67342;68709;70086;71474;72871;74275;75687;77105;78527
116BSP2470_1;38582;38903;39737;42067;45669;49447;51767;52830;54143;55516;56946;58405;59864;61314;62761;64214;65682;67168;68675;70202;71750;73319;74908;76517;78145;79791;81454;83134;84829;86538;88259;89992;91735;93487;95246;97012
116BSP2490_2;30406;30655;31304;33341;36560;39925;41911;42725;43781;44889;46046;47226;48404;49570;50731;51895;53069;54257;55461;56681;57918;59170;60439;61723;63022;64335;65662;67001;68352;69714;71086;72467;73855;75250;76651;78057
116BSP2490_2;49345;49744;50782;53350;57216;61225;63808;65119;66693;68336;70041;71782;73523;75255;76986;78725;80482;82260;84061;85886;87736;89609;91506;93426;95367;97329;99310;101310;103327;105360;107407;109466;111537;113617;115706;117801
116BSP2490_2;46638;47015;47995;50463;51253;51840;51053;52022;53269;54570;55921;57300;58679;60050;61418;62793;64182;65586;67009;68451;69912;71391;72888;74403;75934;77482;79045;80622;82212;83814;85428;87051;88682;90321;91966;93615
116BSP2490_1;102069;102886;105009;109654;112762;115796;116508;118982;121743;124587;127509;130484;133486;136503;139543;142614;145724;148874;152066;155302;158579;161897;165255;168652;172086;175555;179058;182591;186154;189742;193355;196988;200639;204306;207986;211676
